거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"30,000",,2005,2021,방배동,방배대우디오빌,9,1,29.6,,866-20,11650,9,,
"283,000",,2013,2021,방배동,롯데캐슬아르떼,9,3,216.2766,,424-28,11650,13,,
"250,000",,2002,2021,방배동,현대멤피스,9,3,158.82,,772-13,11650,14,,
"192,500",,1992,2021,방배동,대우(효령),9,4,84.93,,1038,11650,4,,
"205,000",,1996,2021,방배동,두원,9,5,84.87,,473-1,11650,3,,
"203,000",,2010,2021,방배동,서리풀e편한세상,9,9,59.94,,906-13,11650,11,,
"212,000",,2001,2021,방배동,방배2차현대홈타운,9,10,84.94,,2001,11650,8,,
"90,000",,2019,2021,방배동,방배마에스트로,9,10,29.28,,866-10,11650,22,,
"337,000",,2009,2021,방배동,방배롯데캐슬로제,9,10,204.41,,849-30,11650,7,21.10.06,O
"337,000",,2009,2021,방배동,방배롯데캐슬로제,9,10,204.41,,849-30,11650,7,,
"216,000",,2004,2021,방배동,방배아크로리버,9,10,149.225,,752-36,11650,6,,
"170,000",,1992,2021,방배동,방배대우(562-1),9,11,84.55,,562-1,11650,5,,
"145,000",,1992,2021,방배동,신구,9,13,132.19,,980-48,11650,8,,
"31,400",,2005,2021,방배동,방배대우디오빌,9,16,29.6,,866-20,11650,9,,
"170,000",,1999,2021,방배동,방배1차현대홈타운,9,16,59.94,,1344,11650,4,,
"192,000",,1992,2021,방배동,대우(효령),9,17,84.91,,1038,11650,9,,
"250,000",,2010,2021,방배동,서리풀e편한세상,9,18,84.97,,906-13,11650,10,,
"480,000",,2014,2021,방배동,UPPERHOUSE2,9,24,244.72,,12-5,11650,1,,
"54,000",,2012,2021,방배동,훼미리타운,9,27,40,,932-34,11650,2,,
"242,000",,1976,2021,방배동,삼호3,9,27,181.6,,757-3,11650,11,,
"55,000",,2012,2021,방배동,훼미리타운,9,28,39.79,,932-34,11650,3,,
"46,850",,2002,2021,양재동,신영체르니,9,5,32.08,,90,11650,5,,
"159,000",,1991,2021,양재동,우성,9,11,73.15,,154-2,11650,4,,
"200,000",,1995,2021,우면동,대림,9,2,130.89,,57,11650,13,,
"143,000",,1995,2021,우면동,동고,9,10,84.96,,59,11650,11,21.11.16,O
"174,500",,2011,2021,우면동,서초네이처힐4단지,9,10,84.84,,720,11650,3,,
"146,000",,2011,2021,우면동,서초네이처힐7단지,9,11,59.99,,735,11650,13,,
"240,000",,2013,2021,우면동,서초호반써밋,9,23,134.0247,,753,11650,14,,
"199,000",,2013,2021,우면동,서초네이처힐3단지,9,24,114.79,,717,11650,13,,
